,title,price,link
10,"Dell [Smartchoice 14 Thin & Light Laptop, Intel 12th Gen Core i5-1235U/8GB/512GB SSD/14.0"" (35.56cm) FHD/Intel UHD Graphics/Spill-Resistant Keyboard/Windows 11 + MSO'21/Black/15 Month McAfee, 1.48kg  ","45,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTk4Nzc0MzIwNzcwMTkzOjE3MjA3Njk4OTg6c3BfYnRmOjMwMDEyMDAyMjQzMzgzMjo6MDo6&url=%2FDell-14-Rheinland-Certified-Comfortview%2Fdp%2FB0BQJ7NMVM%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3LEN38FUIZBOU%26dib%3DeyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720769897%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
11,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NzkzOTcyOTg0MzQxMTkzOjE3MjA3Njk5MTE6c3BfYXRmOjMwMDE1OTk3NTUzMDgzMjo6MDo6&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CB7S1RTX%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3LEN38FUIZBOU%26dib%3DeyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720769911%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
12,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NzkzOTcyOTg0MzQxMTkzOjE3MjA3Njk5MTE6c3BfYXRmOjMwMDA4NTQwMzIxODczMjo6MDo6&url=%2FApple-MacBook-16-inch-16%25E2%2580%2591core-40%25E2%2580%2591core%2Fdp%2FB0CM5SZ7CP%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3LEN38FUIZBOU%26dib%3DeyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720769911%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
13,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU  ","52,025",https://amazon.in//HP-i5-1235U-15-6-inch-graphics-speakers/dp/B0CTKHTNWL/ref=sr_1_7?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769858&sprefix=laptop%2Caps%2C268&sr=8-7
14,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN  ","25,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_3?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769911&sprefix=laptop%2Caps%2C268&sr=8-3
15,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W  ","23,750",https://amazon.in//ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_4?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769911&sprefix=laptop%2Caps%2C268&sr=8-4
16,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","17,901",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_5?crid=3LEN38FUIZBOU&dib=eyJ2IjoiMSJ9.iUhFWZy7nDKE-Z4z6TlOw2nZ0ct-psVKUHHC5joD2L7w-Sd3nvz2-kQmpgEdjNTnRfJmOZQwo3M7JqByPC49lSi5V0Qu_d4NSiG6ppgBTkoXNO2WhJXtJCqFUf1AapOUcE8B2-OldkhC6coOMWJsRGsffKkTEQNn3QMndBd9xawAahDwrZzceHpOsOjkMNe0HrpO0rUXiGEJKmgsywEWPCaXAYqkJnU4vgYORq1yffs.mBkrGKVPIOJx4dLwinbLHM6KKrd60zYizOb3w59opP8&dib_tag=se&keywords=laptop&qid=1720769911&sprefix=laptop%2Caps%2C268&sr=8-5
17,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VTIN  ","35,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozODAxNjY4NzE4MDgxMTkzOjE3MjA3Njk5MTE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEyMDAyMjQyOTIzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-Warranty-82RK006DIN%2Fdp%2FB0B4JPC8GT%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%253Aamzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%26crid%3D3LEN38FUIZBOU%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TmtmzjO3MtakldqgEuHfYpwl8Wt7SuhaDiew0HVe1ILKKpZExeq8pi_MkQ-uYT4u78V5BXlpG1_eQQlPfXe6jg.DZ0fzjBFKDtn7E1-XcjauLdisEYYO7kK0AHhfy_II_I%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0B4JPC8GT%26pd_rd_r%3D7267f170-8d18-4c70-885b-8b7c4ce4f837%26pd_rd_w%3D8XvGF%26pd_rd_wg%3DrKcIP%26pf_rd_p%3D85e046b2-1010-4183-b7b7-f25119863240%26pf_rd_r%3D2C7G1RJTEREJDYG3R6WN%26qid%3D1720769911%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
18,"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS  ","37,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozODAxNjY4NzE4MDgxMTkzOjE3MjA3Njk5MTE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExOTk4NTY0MTMzMjo6MTo6&url=%2FASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK322WS%2Fdp%2FB0CCPBPYSB%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%253Aamzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%26crid%3D3LEN38FUIZBOU%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TmtmzjO3MtakldqgEuHfYpwl8Wt7SuhaDiew0HVe1ILKKpZExeq8pi_MkQ-uYT4u78V5BXlpG1_eQQlPfXe6jg.DZ0fzjBFKDtn7E1-XcjauLdisEYYO7kK0AHhfy_II_I%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CCPBPYSB%26pd_rd_r%3D7267f170-8d18-4c70-885b-8b7c4ce4f837%26pd_rd_w%3D8XvGF%26pd_rd_wg%3DrKcIP%26pf_rd_p%3D85e046b2-1010-4183-b7b7-f25119863240%26pf_rd_r%3D2C7G1RJTEREJDYG3R6WN%26qid%3D1720769911%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
19,"ASUS Vivobook S15 OLED 2022, 15.6"" 39.62 cm FHD OLED, Intel Core Evo i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Black/1.8 kg) K3502ZA-L502WS  ","70,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozODAxNjY4NzE4MDgxMTkzOjE3MjA3Njk5MTE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1MDgzMTQ5NTAzMjo6Mjo6&url=%2FASUS-Vivobook-Intel-Core-Evo-i5-12500H-K3502ZA-L502WS%2Fdp%2FB09YHCTHDY%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%253Aamzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%26crid%3D3LEN38FUIZBOU%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TmtmzjO3MtakldqgEuHfYpwl8Wt7SuhaDiew0HVe1ILKKpZExeq8pi_MkQ-uYT4u78V5BXlpG1_eQQlPfXe6jg.DZ0fzjBFKDtn7E1-XcjauLdisEYYO7kK0AHhfy_II_I%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB09YHCTHDY%26pd_rd_r%3D7267f170-8d18-4c70-885b-8b7c4ce4f837%26pd_rd_w%3D8XvGF%26pd_rd_wg%3DrKcIP%26pf_rd_p%3D85e046b2-1010-4183-b7b7-f25119863240%26pf_rd_r%3D2C7G1RJTEREJDYG3R6WN%26qid%3D1720769911%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C268%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
